IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_SEX,DIM_VALUE_TYPE,VALUE_NUMERIC,DIM_PUBLISH_STATE_CODE
90E2E48,Life expectancy (at birth),WHOSIS_000001,4,Afghanistan,2000,YEAR,Total,AMOUNT,54.98949,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,953,Africa,2000,YEAR,Total,AMOUNT,52.65365,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,953,Africa,2000,YEAR,Female,AMOUNT,54.30957,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,8,Albania,2000,YEAR,Total,AMOUNT,73.54528,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,8,Albania,2000,YEAR,Male,AMOUNT,70.65347,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,954,Americas,2000,YEAR,Female,AMOUNT,77.09953,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,784,United Arab Emirates,2000,YEAR,Male,AMOUNT,72.1955,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,51,Armenia,2000,YEAR,Female,AMOUNT,74.90656,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,51,Armenia,2000,YEAR,Male,AMOUNT,68.58817,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,36,Australia,2000,YEAR,Male,AMOUNT,77.12505,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,108,Burundi,2000,YEAR,Male,AMOUNT,41.79497,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,56,Belgium,2000,YEAR,Male,AMOUNT,74.53505,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,204,Benin,2000,YEAR,Female,AMOUNT,58.77462,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,204,Benin,2000,YEAR,Male,AMOUNT,54.30958,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,854,Burkina Faso,2000,YEAR,Female,AMOUNT,53.14076,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,44,Bahamas,2000,YEAR,Female,AMOUNT,74.19233,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,70,Bosnia and Herzegovina,2000,YEAR,Male,AMOUNT,72.60197,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,112,Belarus,2000,YEAR,Total,AMOUNT,68.84592,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,112,Belarus,2000,YEAR,Female,AMOUNT,74.60679,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,112,Belarus,2000,YEAR,Male,AMOUNT,63.27564,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,84,Belize,2000,YEAR,Male,AMOUNT,67.17996,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,76,Brazil,2000,YEAR,Total,AMOUNT,71.46612,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,52,Barbados,2000,YEAR,Male,AMOUNT,72.12577,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,96,Brunei Darussalam,2000,YEAR,Total,AMOUNT,72.20396,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,96,Brunei Darussalam,2000,YEAR,Male,AMOUNT,70.8608,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,64,Bhutan,2000,YEAR,Total,AMOUNT,65.69579,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,140,Central African Republic,2000,YEAR,Male,AMOUNT,43.23857,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,124,Canada,2000,YEAR,Male,AMOUNT,76.54477,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,756,Switzerland,2000,YEAR,Total,AMOUNT,79.71678,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,152,Chile,2000,YEAR,Male,AMOUNT,73.63732,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,156,China,2000,YEAR,Male,AMOUNT,69.34029,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,384,Côte d'Ivoire,2000,YEAR,Total,AMOUNT,50.33079,PUBLISHED
90E2E48,Life expectancy (at birth),WHOSIS_000001,120,Cameroon,2000,YEAR,Male,AMOUNT,51.34163,PUBLISHED
