IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_SEX,DIM_AGE,DIM_ENV_BURDEN,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_NUMERIC_LOWER,VALUE_NUMERIC_UPPER,DIM_PUBLISH_STATE_CODE
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,25 to 29 years,Lower respiratory infections,RATE_PER_100000,0.11263,0.07863,0.15061,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,35 to 39 years,"Trachea, bronchus, lung cancers",RATE_PER_100000,0.0215,0.01284,0.03166,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,35 to 39 years,Stroke,RATE_PER_100000,0.15371,0.08409,0.24228,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,40 to 44 years,Lower respiratory infections,RATE_PER_100000,0.22327,0.15346,0.30041,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,40 to 44 years,Ischaemic heart disease,RATE_PER_100000,0.86372,0.56969,1.1482,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,45 to 49 years,Stroke,RATE_PER_100000,0.56789,0.31054,0.89454,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,45 to 49 years,Chronic obstructive pulmonary disease,RATE_PER_100000,0.09437,0.03966,0.16783,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,50 to 54 years,"Trachea, bronchus, lung cancers",RATE_PER_100000,0.22179,0.13014,0.3355,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,50 to 54 years,Ischaemic heart disease,RATE_PER_100000,2.42288,1.59366,3.22152,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,55 to 59 years,Ischaemic heart disease,RATE_PER_100000,3.91944,2.57344,5.20987,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,55 to 59 years,Stroke,RATE_PER_100000,1.51045,0.82248,2.40433,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,5 to 9 years,Lower respiratory infections,RATE_PER_100000,0.18619,0.12541,0.25987,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,60 to 64 years,Lower respiratory infections,RATE_PER_100000,0.35469,0.24306,0.47677,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,60 to 64 years,Stroke,RATE_PER_100000,2.05554,1.12384,3.22873,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,70 to 74 years,Ischaemic heart disease,RATE_PER_100000,11.46097,7.61994,15.12051,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,70 to 74 years,Stroke,RATE_PER_100000,3.71596,2.02476,5.71797,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,75 to 79 years,Lower respiratory infections,RATE_PER_100000,0.6157,0.42338,0.82939,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Total,80 plus years,Stroke,RATE_PER_100000,7.68324,4.11914,12.05542,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Female,15 to 19 years,Lower respiratory infections,RATE_PER_100000,0.1231,0.08487,0.16974,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Female,20 to 24 years,Lower respiratory infections,RATE_PER_100000,0.12607,0.08821,0.17114,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Female,45 to 49 years,Chronic obstructive pulmonary disease,RATE_PER_100000,0.06685,0.02953,0.11865,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Female,50 to 54 years,Lower respiratory infections,RATE_PER_100000,0.15877,0.1098,0.21296,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Female,50 to 54 years,"Trachea, bronchus, lung cancers",RATE_PER_100000,0.10436,0.06206,0.15443,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Female,50 to 54 years,Chronic obstructive pulmonary disease,RATE_PER_100000,0.08816,0.03888,0.15625,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Female,55 to 59 years,"Trachea, bronchus, lung cancers",RATE_PER_100000,0.14341,0.08492,0.2121,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Female,55 to 59 years,Stroke,RATE_PER_100000,1.14927,0.62575,1.8224,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Female,65 to 69 years,"Trachea, bronchus, lung cancers",RATE_PER_100000,0.19044,0.11189,0.28497,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Female,75 to 79 years,"Trachea, bronchus, lung cancers",RATE_PER_100000,0.12068,0.06965,0.18618,PUBLISHED
E2FC6D7,Air pollution deaths (age-standardized),SDGAIRBODA,143,Central Asia,2019,YEAR,Female,75 to 79 years,Ischaemic heart disease,RATE_PER_100000,13.45712,8.78649,17.8291,PUBLISHED
