IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_AMR_GLASS_AWARE,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_COMMENTS,DIM_PUBLISH_STATE_CODE
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,051,Armenia,2016,YEAR,RESERVE,RATE_PER_100,0.0855,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,051,Armenia,2017,YEAR,RESERVE,RATE_PER_100,0.1216,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,051,Armenia,2018,YEAR,RESERVE,RATE_PER_100,0.0731,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,051,Armenia,2019,YEAR,RESERVE,RATE_PER_100,0.1187,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,051,Armenia,2020,YEAR,RESERVE,RATE_PER_100,0.1242,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,051,Armenia,2021,YEAR,RESERVE,RATE_PER_100,0.1465,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,040,Austria,2016,YEAR,RESERVE,RATE_PER_100,0.1717,Only consumption in the community reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,040,Austria,2017,YEAR,RESERVE,RATE_PER_100,0.1828,Only consumption in the community reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,040,Austria,2018,YEAR,RESERVE,RATE_PER_100,0.189,Only consumption in the community reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,040,Austria,2019,YEAR,RESERVE,RATE_PER_100,0.8537,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,040,Austria,2020,YEAR,RESERVE,RATE_PER_100,1.1924,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,040,Austria,2021,YEAR,RESERVE,RATE_PER_100,1.3032,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,056,Belgium,2016,YEAR,RESERVE,RATE_PER_100,0.1104,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,056,Belgium,2017,YEAR,RESERVE,RATE_PER_100,0.1179,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,056,Belgium,2018,YEAR,RESERVE,RATE_PER_100,0.1239,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,056,Belgium,2019,YEAR,RESERVE,RATE_PER_100,0.1238,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,056,Belgium,2020,YEAR,RESERVE,RATE_PER_100,0.1518,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,056,Belgium,2021,YEAR,RESERVE,RATE_PER_100,0.142,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,204,Benin,2016,YEAR,RESERVE,RATE_PER_100,0,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,204,Benin,2017,YEAR,RESERVE,RATE_PER_100,0,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,204,Benin,2018,YEAR,RESERVE,RATE_PER_100,0,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,204,Benin,2019,YEAR,RESERVE,RATE_PER_100,0,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,204,Benin,2020,YEAR,RESERVE,RATE_PER_100,0.0002,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,204,Benin,2021,YEAR,RESERVE,RATE_PER_100,0,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,854,Burkina Faso,2017,YEAR,RESERVE,RATE_PER_100,0,For antibiotics: only A07AA and J01 reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,854,Burkina Faso,2018,YEAR,RESERVE,RATE_PER_100,0,For antibiotics: only A07AA and J01 reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,050,Bangladesh,2016,YEAR,RESERVE,RATE_PER_100,0.0199,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,050,Bangladesh,2017,YEAR,RESERVE,RATE_PER_100,0.0466,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,050,Bangladesh,2018,YEAR,RESERVE,RATE_PER_100,0.0717,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,050,Bangladesh,2019,YEAR,RESERVE,RATE_PER_100,0.2184,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,050,Bangladesh,2020,YEAR,RESERVE,RATE_PER_100,0.2291,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,112,Belarus,2016,YEAR,RESERVE,RATE_PER_100,0.1584,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,112,Belarus,2017,YEAR,RESERVE,RATE_PER_100,0.3343,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,112,Belarus,2018,YEAR,RESERVE,RATE_PER_100,0.6488,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,112,Belarus,2019,YEAR,RESERVE,RATE_PER_100,0.3247,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,112,Belarus,2020,YEAR,RESERVE,RATE_PER_100,0.3753,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,112,Belarus,2021,YEAR,RESERVE,RATE_PER_100,0.458,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,096,Brunei Darussalam,2019,YEAR,RESERVE,RATE_PER_100,0.1015,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,096,Brunei Darussalam,2020,YEAR,RESERVE,RATE_PER_100,0.2869,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,096,Brunei Darussalam,2021,YEAR,RESERVE,RATE_PER_100,0.0392,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,064,Bhutan,2019,YEAR,RESERVE,RATE_PER_100,0.0062,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,064,Bhutan,2020,YEAR,RESERVE,RATE_PER_100,0.0049,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,064,Bhutan,2021,YEAR,RESERVE,RATE_PER_100,0.0018,For antibiotics: only A07AA and J01 reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,756,Switzerland,2016,YEAR,RESERVE,RATE_PER_100,0.3538,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,756,Switzerland,2017,YEAR,RESERVE,RATE_PER_100,0.3805,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,756,Switzerland,2018,YEAR,RESERVE,RATE_PER_100,0.4006,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,756,Switzerland,2019,YEAR,RESERVE,RATE_PER_100,0.3728,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,756,Switzerland,2020,YEAR,RESERVE,RATE_PER_100,0.402,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,756,Switzerland,2021,YEAR,RESERVE,RATE_PER_100,0.4189,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,384,C™te d'Ivoire,2018,YEAR,RESERVE,RATE_PER_100,0,Data incomplete since not collected from all sources of data,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,384,C™te d'Ivoire,2019,YEAR,RESERVE,RATE_PER_100,0,Data incomplete since not collected from all sources of data,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,384,C™te d'Ivoire,2020,YEAR,RESERVE,RATE_PER_100,0,Data incomplete since not collected from all sources of data,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,384,C™te d'Ivoire,2021,YEAR,RESERVE,RATE_PER_100,0,For antibiotics: only J01 and P01AB reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,170,Colombia,2018,YEAR,RESERVE,RATE_PER_100,0.1024,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,170,Colombia,2019,YEAR,RESERVE,RATE_PER_100,0.1466,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,170,Colombia,2020,YEAR,RESERVE,RATE_PER_100,0.1326,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,170,Colombia,2021,YEAR,RESERVE,RATE_PER_100,0.1529,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,196,Cyprus,2016,YEAR,RESERVE,RATE_PER_100,0.0434,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,196,Cyprus,2017,YEAR,RESERVE,RATE_PER_100,0.0633,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,196,Cyprus,2018,YEAR,RESERVE,RATE_PER_100,0.0898,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,196,Cyprus,2019,YEAR,RESERVE,RATE_PER_100,0.1184,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,196,Cyprus,2020,YEAR,RESERVE,RATE_PER_100,0.136,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,196,Cyprus,2021,YEAR,RESERVE,RATE_PER_100,0.339,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,203,Czechia,2019,YEAR,RESERVE,RATE_PER_100,0.1664,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,203,Czechia,2020,YEAR,RESERVE,RATE_PER_100,0.2331,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,203,Czechia,2021,YEAR,RESERVE,RATE_PER_100,0.4328,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,276,Germany,2016,YEAR,RESERVE,RATE_PER_100,0.1427,Only consumption in the community reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,276,Germany,2017,YEAR,RESERVE,RATE_PER_100,0.1471,Only consumption in the community reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,276,Germany,2018,YEAR,RESERVE,RATE_PER_100,0.1528,Only consumption in the community reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,276,Germany,2019,YEAR,RESERVE,RATE_PER_100,0.1569,Only consumption in the community reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,276,Germany,2020,YEAR,RESERVE,RATE_PER_100,0.2023,Only consumption in the community reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,276,Germany,2021,YEAR,RESERVE,RATE_PER_100,0.1967,Only consumption in the community reported,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,208,Denmark,2016,YEAR,RESERVE,RATE_PER_100,0.2302,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,208,Denmark,2017,YEAR,RESERVE,RATE_PER_100,0.2354,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,208,Denmark,2018,YEAR,RESERVE,RATE_PER_100,0.2798,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,208,Denmark,2019,YEAR,RESERVE,RATE_PER_100,0.2658,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,208,Denmark,2020,YEAR,RESERVE,RATE_PER_100,0.3012,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,208,Denmark,2021,YEAR,RESERVE,RATE_PER_100,0.2772,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,818,Egypt,2020,YEAR,RESERVE,RATE_PER_100,1.2931,,PUBLISHED
19E688D,Antibiotic consumption pattern,GLASSAMC_AWARE,818,Egypt,2021,YEAR,RESERVE,RATE_PER_100,1.2086,,PUBLISHED
