IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_COMMENTS,DIM_PUBLISH_STATE_CODE
D2A45A5,Access to essential medicines at health facilites,SDGHEALTHFACILITIESESSENTIALMEDS,422,Lebanon,2004,YEAR,RATE_PER_100,50,,PUBLISHED
D2A45A5,Access to essential medicines at health facilites,SDGHEALTHFACILITIESESSENTIALMEDS,729,Sudan,2012,YEAR,RATE_PER_100,34.48276,,PUBLISHED
D2A45A5,Access to essential medicines at health facilites,SDGHEALTHFACILITIESESSENTIALMEDS,360,Indonesia,2004,YEAR,RATE_PER_100,36.90476,,PUBLISHED
D2A45A5,Access to essential medicines at health facilites,SDGHEALTHFACILITIESESSENTIALMEDS,834,United Republic of Tanzania,2012,YEAR,RATE_PER_100,18.96552,,PUBLISHED
D2A45A5,Access to essential medicines at health facilites,SDGHEALTHFACILITIESESSENTIALMEDS,288,Ghana,2016,YEAR,RATE_PER_100,12.5,* data from only capital city,PUBLISHED
D2A45A5,Access to essential medicines at health facilites,SDGHEALTHFACILITIESESSENTIALMEDS,894,Zambia,2016,YEAR,RATE_PER_100,16.66667,* data from only capital city,PUBLISHED
D2A45A5,Access to essential medicines at health facilites,SDGHEALTHFACILITIESESSENTIALMEDS,417,Kyrgyzstan,2010,YEAR,RATE_PER_100,0,,PUBLISHED
D2A45A5,Access to essential medicines at health facilites,SDGHEALTHFACILITIESESSENTIALMEDS,422,Lebanon,2013,YEAR,RATE_PER_100,52.45901,,PUBLISHED
D2A45A5,Access to essential medicines at health facilites,SDGHEALTHFACILITIESESSENTIALMEDS,108,Burundi,2016,YEAR,RATE_PER_100,0,* data from only capital city,PUBLISHED
D2A45A5,Access to essential medicines at health facilites,SDGHEALTHFACILITIESESSENTIALMEDS,417,Kyrgyzstan,2016,YEAR,RATE_PER_100,0,* data from only capital city,PUBLISHED
D2A45A5,Access to essential medicines at health facilites,SDGHEALTHFACILITIESESSENTIALMEDS,496,Mongolia,2004,YEAR,RATE_PER_100,9.09091,,PUBLISHED
D2A45A5,Access to essential medicines at health facilites,SDGHEALTHFACILITIESESSENTIALMEDS,418,Lao People's Democratic Republic,2013,YEAR,RATE_PER_100,25.27473,,PUBLISHED
