IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_SEX,DIM_AGE,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_NUMERIC_LOWER,VALUE_NUMERIC_UPPER,VALUE_COMMENTS,DIM_PUBLISH_STATE_CODE
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,953,Africa,1975,YEAR,Total,18 plus years,RATE_PER_100,2,1.4,2.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,24,Angola,1975,YEAR,Total,18 plus years,RATE_PER_100,0.8,0.3,1.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,8,Albania,1975,YEAR,Total,18 plus years,RATE_PER_100,6.5,3.6,10.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,8,Albania,1975,YEAR,Female,18 plus years,RATE_PER_100,8.6,3.9,15.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,954,Americas,1975,YEAR,Total,18 plus years,RATE_PER_100,9.5,7.8,11.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,20,Andorra,1975,YEAR,Female,18 plus years,RATE_PER_100,15.8,9.2,23.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,784,United Arab Emirates,1975,YEAR,Total,18 plus years,RATE_PER_100,13.7,9.5,19,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,24,Angola,1975,YEAR,Male,18 plus years,RATE_PER_100,0.2,0,0.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,8,Albania,1975,YEAR,Male,18 plus years,RATE_PER_100,4.4,1.7,9.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,20,Andorra,1975,YEAR,Total,18 plus years,RATE_PER_100,12.9,8.6,18.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,4,Afghanistan,1975,YEAR,Female,18 plus years,RATE_PER_100,0.8,0.2,2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,4,Afghanistan,1975,YEAR,Male,18 plus years,RATE_PER_100,0.2,0,0.6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,953,Africa,1975,YEAR,Female,18 plus years,RATE_PER_100,3.3,2.2,4.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,24,Angola,1975,YEAR,Female,18 plus years,RATE_PER_100,1.4,0.4,3.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,784,United Arab Emirates,1975,YEAR,Female,18 plus years,RATE_PER_100,24.1,15.9,33.6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,31,Azerbaijan,1975,YEAR,Total,18 plus years,RATE_PER_100,6.4,3.5,10.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,31,Azerbaijan,1975,YEAR,Male,18 plus years,RATE_PER_100,3.7,1.3,7.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,108,Burundi,1975,YEAR,Total,18 plus years,RATE_PER_100,0.6,0.2,1.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,954,Americas,1975,YEAR,Female,18 plus years,RATE_PER_100,11.5,8.9,14.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,954,Americas,1975,YEAR,Male,18 plus years,RATE_PER_100,7.4,5.3,9.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,20,Andorra,1975,YEAR,Male,18 plus years,RATE_PER_100,9.7,4.7,16.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,784,United Arab Emirates,1975,YEAR,Male,18 plus years,RATE_PER_100,9.3,4.6,15.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,108,Burundi,1975,YEAR,Female,18 plus years,RATE_PER_100,1,0.3,2.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,204,Benin,1975,YEAR,Total,18 plus years,RATE_PER_100,1.1,0.4,2.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,204,Benin,1975,YEAR,Female,18 plus years,RATE_PER_100,1.7,0.6,3.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,854,Burkina Faso,1975,YEAR,Total,18 plus years,RATE_PER_100,0.4,0.2,1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,32,Argentina,1975,YEAR,Female,18 plus years,RATE_PER_100,13.2,7.7,20.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,32,Argentina,1975,YEAR,Male,18 plus years,RATE_PER_100,9,4.6,15.2,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,28,Antigua and Barbuda,1975,YEAR,Female,18 plus years,RATE_PER_100,8.8,4.1,15.6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,40,Austria,1975,YEAR,Total,18 plus years,RATE_PER_100,7.2,4.9,9.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,31,Azerbaijan,1975,YEAR,Female,18 plus years,RATE_PER_100,8.4,3.9,15.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,108,Burundi,1975,YEAR,Male,18 plus years,RATE_PER_100,0.2,0,0.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,50,Bangladesh,1975,YEAR,Total,18 plus years,RATE_PER_100,0.2,0.1,0.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,100,Bulgaria,1975,YEAR,Female,18 plus years,RATE_PER_100,12.9,6.9,21,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,48,Bahrain,1975,YEAR,Female,18 plus years,RATE_PER_100,22.1,14,31.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,48,Bahrain,1975,YEAR,Male,18 plus years,RATE_PER_100,8.6,4.3,14.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,70,Bosnia and Herzegovina,1975,YEAR,Female,18 plus years,RATE_PER_100,7.7,3.4,14.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,112,Belarus,1975,YEAR,Male,18 plus years,RATE_PER_100,4.7,1.8,9.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,854,Burkina Faso,1975,YEAR,Female,18 plus years,RATE_PER_100,0.7,0.2,1.7,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,854,Burkina Faso,1975,YEAR,Male,18 plus years,RATE_PER_100,0.2,0,0.5,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,100,Bulgaria,1975,YEAR,Male,18 plus years,RATE_PER_100,7.2,3.3,13.4,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,44,Bahamas,1975,YEAR,Female,18 plus years,RATE_PER_100,17.7,10.2,26.6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,70,Bosnia and Herzegovina,1975,YEAR,Male,18 plus years,RATE_PER_100,3.8,1.4,7.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,112,Belarus,1975,YEAR,Female,18 plus years,RATE_PER_100,13.5,6.7,22.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,68,Bolivia (Plurinational State of),1975,YEAR,Total,18 plus years,RATE_PER_100,4.8,2.4,8.3,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,68,Bolivia (Plurinational State of),1975,YEAR,Male,18 plus years,RATE_PER_100,2.1,0.6,5.1,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,76,Brazil,1975,YEAR,Total,18 plus years,RATE_PER_100,5.2,3.3,7.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,52,Barbados,1975,YEAR,Total,18 plus years,RATE_PER_100,7.7,4.6,11.8,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,96,Brunei Darussalam,1975,YEAR,Female,18 plus years,RATE_PER_100,3.9,1.5,7.6,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,64,Bhutan,1975,YEAR,Total,18 plus years,RATE_PER_100,0.4,0.1,0.9,,PUBLISHED
BEFA58B,Obesity in adults (age 18+),NCD_BMI_30A,32,Argentina,1975,YEAR,Total,18 plus years,RATE_PER_100,11.2,7.5,15.7,,PUBLISHED
