IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_COMMENTS,DIM_PUBLISH_STATE_CODE
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,70,Bosnia and Herzegovina,2020,YEAR,MONEY,22.2248,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,76,Brazil,2020,YEAR,MONEY,24.4403,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,84,Belize,2020,YEAR,MONEY,0.3681,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,8,Albania,2020,YEAR,MONEY,48.5266,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,28,Antigua and Barbuda,2020,YEAR,MONEY,0.0034,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,112,Belarus,2020,YEAR,MONEY,0.3154,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,188,Costa Rica,2020,YEAR,MONEY,3.8733,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,4,Afghanistan,2020,YEAR,MONEY,140.2894,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,31,Azerbaijan,2020,YEAR,MONEY,48.605,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,854,Burkina Faso,2020,YEAR,MONEY,82.8001,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,50,Bangladesh,2020,YEAR,MONEY,273.8517,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,64,Bhutan,2020,YEAR,MONEY,12.378,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,140,Central African Republic,2020,YEAR,MONEY,15.3137,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,156,China,2020,YEAR,MONEY,103.6159,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,384,Côte d'Ivoire,2020,YEAR,MONEY,15.0445,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,178,Congo,2020,YEAR,MONEY,33.8643,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,212,Dominica,2020,YEAR,MONEY,0.6198,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,268,Georgia,2020,YEAR,MONEY,35.2658,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,51,Armenia,2020,YEAR,MONEY,15.2716,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,12,Algeria,2020,YEAR,MONEY,3.0138,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,296,Kiribati,2020,YEAR,MONEY,5.0062,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,430,Liberia,2020,YEAR,MONEY,24.4964,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,434,Libya,2020,YEAR,MONEY,0.0081,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,426,Lesotho,2020,YEAR,MONEY,9.9445,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,484,Mexico,2020,YEAR,MONEY,1.3379,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,508,Mozambique,2020,YEAR,MONEY,132.4258,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,604,Peru,2020,YEAR,MONEY,16.8593,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,222,El Salvador,2020,YEAR,MONEY,278.0946,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,24,Angola,2020,YEAR,MONEY,4.6113,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,32,Argentina,2020,YEAR,MONEY,32.5817,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,108,Burundi,2020,YEAR,MONEY,41.9754,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
4AF995F,Water and sanitation development assistance as part of official government spending plans,SDGODAWS,218,Ecuador,2020,YEAR,MONEY,61.9921,"Official development assistance for the water sector, 2022.(OECD-CRS).",PUBLISHED
