"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"1","Aruba","ABW","Americas","Latin America & Caribbean",NA,NA,105.439,NA,NA,NA,NA,NA,NA,97.9899978637695,"Oranjestad",NA,NA,32492.1786261216
"2","Afghanistan","AFG","Asia","South Asia",63.2099,43.39163,35643.418,75.18718,13.29011,21.83,2.535,3.9,5.45455,37.266040802002,"Kabul",8.90189075469971,11.71,407.616507361737
"3","Angola","AGO","Africa","Sub-Saharan Africa",63.06044,47.16332,30208.628,28.43101,15.26225,2.96,2.108,8,16.93721,72.4000015258789,"Luanda",8.12006568908691,10.209,2385.11995881418
"4","Anguilla","AIA","Americas","Latin America & Caribbean",NA,3.91267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Albania","ALB","Europe","Europe & Central Asia",78.00018,8.41165,2873.457,15.65032,4.96622,7.27,18.826,28.893,54.65596,98.5,"Tirane",12.8893814086914,11.808,5155.29085964151
"6","Andorra","AND","Europe","Europe & Central Asia",NA,2.6422,73.837,8.88133,NA,8.33,36.262,NA,86.43443,NA,NA,NA,NA,39447.5382468325
"7","United Arab Emirates","ARE","Asia","Middle East & North Africa",76.07952,5.44782,9068.296,39.15978,0.94339,5.31,28.788,13.8,85,98.2854080200195,"Abu Dhabi",13.4558057785034,2.754,45698.0105275178
"8","Argentina","ARG","Americas","Latin America & Caribbean",76.57514,6.14804,44044.811,12.84685,1.87519,9.71,38.951,49.92,55.8,97.1933135986328,"Buenos Aires",12.8795232772827,6.491,12940.7384352157
"9","Armenia","ARM","Asia","Europe & Central Asia",76.02519,9.54479,2851.923,34.12674,6.3539,12.34,45.457,41.628,39.16079,99.7886123657227,"Yerevan",11.2798700332642,12.557,5116.2057562728
"10","American Samoa","ASM","Oceania","East Asia & Pacific",NA,NA,49.463,NA,NA,NA,NA,NA,NA,97.3441619873047,"Pago Pago",NA,NA,14969.0599426218
"11","Antigua & Barbuda","ATG","Americas","Latin America & Caribbean",76.45393,5.16193,91.119,8.12288,3.71108,5.85,28.979,28.91845,83.78717,98.9499969482422,"Saint John's",12.9675598144531,NA,17335.047039518
"12","Australia","AUS","Oceania","East Asia & Pacific",83.04064,3.15859,24594.202,8.93323,1.27021,10.54,41.018,38.4,82.34955,NA,NA,13.6014432907104,3.661,60993.641250363
"13","Austria","AUT","Europe","Europe & Central Asia",81.64519,2.99136,8797.566,11.24438,0.54884,12.1,54.589,72.7,81,NA,NA,13.4275989532471,4.707,46697.8565193913
"14","Azerbaijan","AZE","Asia","Europe & Central Asia",71.42894,16.60615,9854.033,24.24792,3.93767,4.7,31.105,48.217,54.2,99.7959823608398,"Baku",12.4437866210938,5.462,5590.00439551731
"15","Burundi","BDI","Africa","Sub-Saharan Africa",63.83847,37.62899,11155.593,27.99587,3.12379,9.1,0.647,7.9,1.22,75.5400009155273,"Bujumbura",7.63557195663452,1.02,262.184804661142
"16","Belgium","BEL","Europe","Europe & Central Asia",81.42305,3.38076,11375.158,11.56679,1.13584,11.04,62.574,55.8,82,NA,NA,13.5244760513306,5.631,44184.6852868064
"17","Benin","BEN","Africa","Sub-Saharan Africa",63.42606,55.17365,11596.779,31.51453,2.88841,2.58,0.621,5,3.7977,47.0999984741211,"Porto-Novo",9.22453594207764,1.654,1255.60729259081
"18","Caribbean Netherlands","BES","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Burkina Faso","BFA","Africa","Sub-Saharan Africa",62.7035,51.77386,19835.858,46.03739,9.56286,6.38,0.912,4,3.72503,34.4900016784668,"Ouagadougou",7.01878643035889,5.175,732.570323403893
"20","Bangladesh","BGD","Asia","South Asia",74.25471,22.90615,161793.964,50.1194,2.83522,2.36,6.7,7.95,6.3,74.9088973999023,"Dhaka",10.1635427474976,4.699,1784.73887962167
"21","Bulgaria","BGR","Europe","Europe & Central Asia",75.07156,5.27467,7075.947,16.52179,1.20637,8.56,41.682,74.54,55.1481,98.4199981689453,"Sofia",12.3093404769897,4.402,9550.94254965707
